Thời gian,Tiêu đề,URL,Nội dung
2023-02-02 14:41:00,DGC: Ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2023,https://cafef.vn/du-lieu/dgc-328667/dgc-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2023.chn,
2023-02-02 14:39:00,DGC: Nghị quyết HĐQT v/v chốt danh sách cổ đông để tổ chức ĐHĐCĐ thường niên cho năm 2023,https://cafef.vn/du-lieu/dgc-328673/dgc-nghi-quyet-hdqt-vv-chot-danh-sach-co-dong-de-to-chuc-dhdcd-thuong-nien-cho-nam-2023.chn,
2023-02-02 14:38:00,DGC: Nghị quyết HĐQT v/v thông qua kết quả SXKD quý 4/2022 và kế hoạch kinh doanh quý 1/2023,https://cafef.vn/du-lieu/dgc-328676/dgc-nghi-quyet-hdqt-vv-thong-qua-ket-qua-sxkd-quy-42022-va-ke-hoach-kinh-doanh-quy-12023.chn,
2023-02-02 14:36:00,DGC: Nghị quyết HĐQT v/v mua cổ phần của CTCP Ắc quy Tia sáng,https://cafef.vn/du-lieu/dgc-328682/dgc-nghi-quyet-hdqt-vv-mua-co-phan-cua-ctcp-ac-quy-tia-sang.chn,
2023-01-30 11:15:00,DGC: Báo cáo tình hình quản trị công ty năm 2022,https://cafef.vn/du-lieu/dgc-332867/dgc-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2022.chn,
2023-01-18 16:58:00,"Hoá chất Đức Giang (DGC): Quý 4 tăng trưởng âm, cả năm 2022 vẫn đạt kỷ lục với 6.375 tỷ đồng lợi nhuận trước thuế, EPS đạt 38.000 đồng",https://cafef.vn/du-lieu/dgc-335717/hoa-chat-duc-giang-dgc-quy-4-tang-truong-am-ca-nam-2022-van-dat-ky-luc-voi-6375-ty-dong-loi-nhuan-truoc-thue-eps-dat-38000-dong.chn,
2023-01-18 15:40:00,DGC: Giải trình chênh lệch lợi nhuận sau thuế quý 4/2022 so với quý 4/2021,https://cafef.vn/du-lieu/dgc-335951/dgc-giai-trinh-chenh-lech-loi-nhuan-sau-thue-quy-42022-so-voi-quy-42021.chn,
2023-01-17 18:06:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,https://cafef.vn/du-lieu/dgc-336467/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai-co-lien-quan-la-co-dong-lon.chn,
2023-01-13 00:09:00,"Cổ phiếu TSB tăng hơn 200% trong 1 tháng: Hóa Chất Đức Giang (DGC) ""nhảy vào"" công ty Ắc quy Tia sáng khi Vinachem thoái vốn?",https://cafef.vn/du-lieu/dgc-338996/co-phieu-tsb-tang-hon-200-trong-1-thang-hoa-chat-duc-giang-dgc-nhay-vao-cong-ty-ac-quy-tia-sang-khi-vinachem-thoai-von.chn,
2022-12-30 14:20:00,"Nhóm Dragon Capital mua ròng 7,7 triệu cổ phiếu Hóa chất Đức Giang (DGC) trong tháng 12",https://cafef.vn/du-lieu/dgc-344615/nhom-dragon-capital-mua-rong-77-trieu-co-phieu-hoa-chat-duc-giang-dgc-trong-thang-12.chn,
